"title","price","discount","developer","publisher","release_date","valoration","reviews","stock","descarga","f2p","initial_price","DLC","genre1","genre2","multiplayer","indie","year","month","day"
"Shadow Warrior 2",3.43,88,"Flying Wild Hog","Devolver Digital","2016-10-13",9,27,1,"Descarga digital",0,28.5833333333333,FALSE,"Acción","Aventura",FALSE,FALSE,2016,10,13
"Not For Broadcast",3.98,84,"NotGames","tinyBuild","2022-01-25",9,5,1,"Descarga digital",0,24.875,FALSE,"Aventura","Simulación",FALSE,TRUE,2022,1,25
"Crusader Kings III: Northern Lords",3.98,69,"Paradox Development Studio","Paradox Interactive","2021-03-16",10,0,1,"Descarga digital",0,12.8387096774194,TRUE,"RPG","Simulación",FALSE,FALSE,2021,3,16
"Age of Wonders III Collection - Europe",4.52,93,"Triumph Studios","Paradox Interactive","2014-03-31",10,5,1,"Descarga digital",0,64.5714285714286,FALSE,"RPG","Estrategia",FALSE,FALSE,2014,3,31
"Ghostwire: Tokyo - Europe",19.75,67,"Tango Gameworks","Bethesda Softworks","2022-03-25",10,19,0,"No",0,59.8484848484849,FALSE,"Acción","Acción",FALSE,FALSE,2022,3,25
"Drake Hollow",3.86,85,"The Molasses Flood","CD PROJEKT RED","2020-10-01",10,5,1,"Descarga digital",0,25.7333333333333,FALSE,"Acción","Aventura",FALSE,TRUE,2020,10,1
"Port Royale 4",6.87,83,"Gaming Minds","Kalypso Media","2020-09-25",5,2,1,"Descarga digital",0,40.4117647058824,FALSE,"Simulación","Estrategia",FALSE,FALSE,2020,9,25
"Old World",21.98,45,"Mohawk Games","Hooded Horse","2022-05-19",4,0,1,"Descarga digital",0,39.9636363636364,FALSE,"Simulación","Estrategia",FALSE,FALSE,2022,5,19
"TT Isle Of Man – Ride on the Edge 2",5.96,80,"KT Racing","Nacon","2020-03-19",9,8,1,"Descarga digital",0,29.8,FALSE,"Acción","Carreras",FALSE,FALSE,2020,3,19
"The Walking Dead: Saints & Sinners Tourist Edition",13.72,60,"Skydance Interactive","Skydance Interactive","2020-01-23",10,11,1,"Descarga digital",0,34.3,FALSE,"Acción","Aventura",FALSE,TRUE,2020,1,23
"Panzer Corps 2",8.45,75,"Flashback Games","Slitherine Ltd.","2020-03-19",9,1,1,"Descarga digital",0,33.8,FALSE,"Estrategia","Estrategia",FALSE,FALSE,2020,3,19
"Syberia 3",1.74,94,"Microids","Microids","2017-04-20",8,57,1,"Descarga digital",0,29,FALSE,"Aventura","Aventura",FALSE,FALSE,2017,4,20
